appic_numbers,program,degree
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Counseling,PsyD
"[2624, 1403]",Counseling,PsyD
"[2624, 1403]",Counseling,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[2624, 1403]",Clinical,PhD
"[1548, 2494, 1947]",School,PsyD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2624, 1318]",Clinical,PhD
"[2426, 1318]",Clinical,PhD
"[2426, 1318]",Clinical,PhD
"[2426, 1403]",Clinical,PhD
"[2426, 1403]",Clinical,PhD
"[2426, 1403]",Clinical,PhD
"[2426, 1403]",Clinical,PhD
"[1597, 1551, 2321, 2487, 2487, 2018, 2154, 1640, 1726]",Clinical,PsyD
"[1597, 1551, 2321, 2487, 2487, 2018, 2154, 1640, 1726]",Clinical,PsyD
"[1597, 1595, 2321, 2487, 2487, 2018, 2154, 1640, 1726]",Clinical,PsyD
"[1597, 1595, 2321]",Clinical,PsyD
"[1597, 1595, 2321]",Clinical,PsyD
"[1597, 1595, 2321]",Clinical,PsyD
"[2285, 2203, 2022, 1747]",School,PsyD
"[2285, 2203, 1747]",School,PsyD
"[1389, 1296, 1274, 1682]",Counseling,PhD
"[1173, 1174]",Counseling,PhD
"[1134, 1525]",Clinical,PhD
"[1389, 1296, 1274, 1682]",Clinical,PhD
"[1267, 1350, 1598, 1136, 1547]",Counseling,PhD
"[1137, 1173, 1128, 1164, 2459, 1997]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[2266, 2447, 2285, 1708, 1328, 1482, 1721]",Clinical,PhD
"[1771, 2463]",Clinical,PhD
"[1771, 2463, 1413, 1134]",Clinical,PhD
"[1149, 1162]",Clinical,PhD
"[1149, 1162]",Clinical,PhD
"[1117, 1119, 1127, 1133]",Clinical,PhD
"[1294, 1344]",Clinical,PhD
"[1147, 1420]",Clinical,PhD
"[1147, 1323, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1323, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1163, 1323, 1383, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1163, 1323, 1383, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1163, 1323, 1383, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1163, 1323, 1383, 1414, 1420, 1551]",Clinical,PhD
"[1147, 1163, 1323, 1383, 1414, 1420, 1551]",Clinical,PhD
"[1502, 2000, 2297]",School,PhD
"[1388, 1511]",Counseling,PhD
"[1388, 1511]",Counseling,PhD
"[1388, 1511]",Counseling,PhD
"[1388, 1389, 1511]",Counseling,PhD
"[1388, 1389, 1511]",Counseling,PhD
"[1388, 1389, 1511]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1388, 1509]",Counseling,PhD
"[1136, 1160, 1243, 1267, 1332, 1350, 1505, 1568, 1620, 1750, 1751, 1799, 2293]",Counseling,PhD
"[1136, 1160, 1243, 1267, 1332, 1350, 1505, 1568, 1620, 1750, 1751, 1799, 2293]",Counseling,PhD
"[1193, 1198, 1225, 1325, 1347, 1359, 2069, 2519]",Clinical,PhD
"[2422, 2578]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1133, 1222]",Clinical,PsyD
"[1384, 2369]",School,PhD
"[1384, 1416, 2369]",School,PhD
"[1384, 1416, 2369]",School,PhD
"[1264, 1314, 1436, 1509, 1538, 2110, 2413]",Clinical,PhD
"[1264, 1314, 1436, 1509, 1538, 2110, 2413]",Clinical,PhD
"[1264, 1314, 1436, 1509, 1538, 2110, 2413]",Clinical,PhD
"[1125, 1334]",Clinical,PsyD
"[1112, 1599, 1671]",Clinical,PsyD
"[1383, 1414]",Counseling,PhD
"[1383, 1414]",Counseling,PhD
"[1474, 1986]",Clinical,PsyD
"[1416, 1727]",School,PhD
"[1276, 1645, 1939]",School,PsyD
"[1155, 1466]",Clinical,PhD
"[2255, 2308]",Clinical,PsyD
"[1339, 2298, 2303, 2431]",Clinical,PsyD
"[1160, 1994]",Counseling,PhD
"[1160, 1994]",Counseling,PhD
"[1620, 1751]",Counseling,PhD
"[1620, 1751]",Counseling,PhD
"[1267, 1620, 1751]",Counseling,PhD
"[1143, 1948]",Clinical,PhD
"[1197, 1314, 1390, 1503, 1509, 1538, 2297, 2375, 2413]",Clinical,PhD
"[1197, 1314, 1390, 1503, 1509, 1538, 2297, 2375, 2413]",Clinical,PhD
"[1197, 1503]",Clinical,PhD
"[1197, 1503]",Clinical,PhD
"[1298, 1594]",Clinical,PhD
"[1298, 1594]",Clinical,PhD
"[1265, 1322, 1325, 1329, 1331, 1443, 1466, 1476, 1536, 1619, 1621]",Clinical,PhD
"[1316, 1403]",Clinical,PhD
"[1219, 1264, 1329, 1474, 1475, 1619]",Clinical,PhD
"[1219, 1264, 1329, 1474, 1475, 1619]",Clinical,PhD
"[1219, 1264, 1329, 1474, 1475, 1619]",Clinical,PhD
"[1219, 1264, 1329, 1474, 1475, 1619]",Clinical,PhD
"[1460, 2559]",School,PhD
"[1183, 2404]",Counseling,PhD
"[1186, 2069]",Counseling,PhD
"[1420, 1552]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1444, 1457]",Clinical,PhD
"[1444, 1457, 1476]",Clinical,PhD
"[1326, 1623]",Clinical,PhD
"[1183, 1326, 1383, 1623, 1992]",Clinical,PhD
"[2152, 2210]",Counseling,PhD
"[1183, 1324, 1326, 1383, 1443, 1623, 1992]",Clinical,PhD
"[2210, 2468]",Counseling,PhD
"[1183, 1324, 1326, 1383, 1443, 1623, 1992, 2024, 2059]",Clinical,PhD
"[1183, 1324, 1326, 1383, 1443, 1623, 1992, 2024, 2059]",Clinical,PhD
"[1573, 2468]",Counseling,PhD
"[1573, 1585]",Counseling,PhD
"[1573, 1575]",Counseling,PhD
"[1117, 2057]",Counseling,PhD
"[1193, 1220]",Clinical,PhD
"[1106, 1109, 1112, 1131, 1135]",Counseling,PhD
"[1106, 1109, 1112, 1131, 1135]",Counseling,PhD
"[1463, 1799]",Clinical,PhD
"[1197, 1663, 1721, 1727]",Clinical,PsyD
"[1128, 1134]",Clinical,PsyD
"[1128, 1134]",Clinical,PsyD
"[1323, 1413]",Clinical,PhD
"[1200, 2467]",Clinical,PhD
"[1200, 2467]",Clinical,PhD
"[1200, 2467]",Clinical,PhD
"[1200, 2467]",Clinical,PhD
"[1115, 1350]",Counseling,PhD
"[1115, 1350]",Counseling,PhD
"[1134, 1213]",Clinical,PhD
"[1801, 1809]",Clinical,PhD
"[1802, 1807]",Clinical,PhD
"[1103, 1747]",School,PhD
"[1103, 1747]",School,PhD
"[1163, 1399]",Clinical,PsyD
"[1334, 2519]",Clinical,PsyD
"[1334, 2519]",Clinical,PsyD
"[1334, 2519]",Clinical,PsyD
"[1266, 1325]",Clinical,PhD
"[1106, 1108, 1111]",Clinical,PhD
"[1106, 1108, 1111]",Clinical,PhD
"[1106, 1109, 1116]",Counseling,PhD
"[1106, 1109, 1116]",Counseling,PhD
"[1137, 2556]",Clinical,PhD
"[1137, 2556]",Clinical,PhD
"[1138, 2467]",Clinical,PsyD
"[1220, 2170]",Clinical,PsyD
"[1220, 2170]",Clinical,PsyD
"[1355, 2057]",Clinical,PsyD
"[1350, 1355, 1547, 1604, 1606, 1649, 1778, 2057]",Clinical,PsyD
"[1809, 1846, 1860]",Clinical,PsyD
"[1183, 1809]",Clinical,PsyD
"[1807, 1823, 1881]",Clinical,PhD
"[1807, 1823, 1881]",Clinical,PhD
"[1569, 1582, 1587, 1588, 1590, 2188]",Counseling,PhD
"[1476, 1551]",Clinical,PhD
"[1191, 1193]",Clinical,PsyD
"[1191, 1193]",Clinical,PsyD
"[1525, 2556]",Clinical,PhD
"[1155, 1265]",Clinical,PhD
"[1440, 1663]",Counseling,PhD
"[1440, 1663]",Counseling,PhD
"[1165, 1619]",Clinical,PhD
"[2114, 2459, 2553, 2574, 2600]",Clinical,PsyD
"[2114, 2459, 2553, 2574, 2600]",Clinical,PsyD
"[2114, 2459, 2553, 2574, 2600]",Clinical,PsyD
"[1257, 1362]",Clinical,PsyD
"[1343, 1514, 1588, 1589]",Clinical,PsyD
"[1343, 1514, 1588, 1589]",Clinical,PsyD
"[1440, 1663, 1727, 2266]",Clinical,PhD
"[1275, 1440, 1453, 1634, 2172]",Clinical,PhD
"[1110, 1113]",Clinical,PsyD
"[1650, 2066, 2254]",Clinical,PsyD
"[1650, 2066, 2254]",Clinical,PsyD
"[1334, 1910]",Clinical,PsyD
"[1134, 1205]",Clinical,PhD
"[1306, 1344]",Clinical,PhD
"[1306, 1344, 1416, 1495]",Clinical,PhD
"[1327, 1334]",Clinical,PsyD
"[1343, 1589]",Clinical,PsyD
"[1343, 1589]",Clinical,PsyD
"[1343, 1589]",Clinical,PsyD
"[1823, 1846]",Clinical,PhD
"[2052, 2499]",Counseling,PsyD
"[2052, 2499]",Counseling,PsyD
"[2052, 2499]",Counseling,PsyD
"[1316, 2624]",Clinical,PhD
"[1316, 2624]",Clinical,PhD
"[1316, 2624]",Clinical,PhD
"[1316, 2624]",Clinical,PhD
"[1316, 2624]",Clinical,PhD
"[1144, 1149, 2607]",Clinical,PsyD
"[1144, 1149, 2641]",Clinical,PsyD
"[1144, 1149, 2641]",Clinical,PsyD
"[1144, 1149]",Clinical,PsyD
"[1205, 1587]",Counseling,PhD
"[1205, 1587]",Counseling,PhD
"[1183, 1551]",Clinical,PhD
"[1183, 1551]",Clinical,PhD
"[1325, 1621]",Clinical,PhD
"[1325, 1621]",Clinical,PhD
"[1325, 1621]",Clinical,PhD
"[1187, 1197, 2052]",Clinical,PhD
"[1187, 1330]",Clinical,PhD
"[1149, 1326, 1443]",Clinical,PhD
"[1149, 1326, 1443]",Clinical,PhD
"[1149, 1326, 1341, 1443]",Clinical,PhD
"[1149, 1326, 1341, 1443]",Clinical,PhD
"[1149, 1326, 1341, 1443]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1599, 1671]",Counseling,PhD
"[1109, 1191]",Counseling,PhD
"[1187, 1197, 1306, 1330, 1509, 1538, 2410]",School,PsyD
"[1187, 1197, 1306, 1330, 1509, 1538, 2410]",School,PsyD
"[1173, 1331]",Clinical,PhD
"[1134, 1153, 1476]",Clinical,PsyD
"[1165, 1331]",Clinical,PsyD
"[1329, 1347]",Clinical,PhD
"[1329, 1347]",Clinical,PhD
"[1329, 1347]",Clinical,PhD
"[1137, 1171, 1173, 1213, 1257, 1264, 1326, 1330, 1503]",Clinical,PhD
"[1328, 1330, 1409, 1538]",School,PhD
"[1802, 1876]",Clinical,PhD
"[1802, 1876]",Clinical,PhD
"[1129, 1193, 1347]",Clinical,PsyD
"[1327, 1577, 2279]",Counseling,PhD
"[1327, 1577]",Counseling,PhD
"[1327, 2260]",Counseling,PhD
"[1327, 2260]",Counseling,PhD
"[1327, 1492, 1495]",Counseling,PhD
"[1107, 1115]",Clinical,PhD
"[1107, 1115]",Clinical,PhD
"[1119, 2606]",Clinical,PsyD
"[1165, 1171, 1184, 1330, 1476, 1538]",Clinical,PhD
"[2026, 2095]",Clinical,PsyD
"[1323, 1443, 1465, 1466, 1475, 1476, 1538, 1986, 2013, 2376, 2519]",Clinical,PhD
"[1568, 1577, 2214, 2215, 2294]",Clinical,PsyD
"[1939, 2447, 2606]",Clinical,PsyD
"[1939, 2447, 2606]",Clinical,PsyD
"[1939, 2447, 2606]",Clinical,PsyD
"[1153, 1162]",Clinical,PsyD
"[1187, 2552]",Clinical,PhD
"[1187, 2552]",Clinical,PhD
"[1155, 1503, 1552]",Clinical,PhD
"[1134, 1220]",Clinical,PsyD
"[1293, 2512]",Counseling,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1403, 2624]",Clinical,PhD
"[1197, 1538]",Clinical,PhD
"[1197, 1530, 1538, 2508]",Clinical,PhD
"[1197, 1530, 1538, 2508]",Clinical,PhD
"[1197, 1530, 1538, 2508]",Clinical,PhD
"[1197, 1530, 1538, 2508]",Clinical,PhD
"[1149, 1341, 1443]",Clinical,PhD
"[1663, 1790]",Clinical,PsyD
"[1149, 1326, 1341]",Clinical,PhD
"[1149, 1326, 1341]",Clinical,PhD
"[1149, 1339, 1341]",Clinical,PhD
"[1149, 1341, 1443]",Clinical,PhD
"[1294, 1388]",Clinical,PsyD
"[1294, 1388]",Clinical,PsyD
"[1213, 1216, 1217, 1390, 1796]",Clinical,PhD
"[1344, 1416, 2036, 2463]",Clinical,PsyD
"[1344, 1416, 2036, 2463]",Clinical,PsyD
"[1344, 1416, 2036, 2463]",Clinical,PsyD
"[1110, 1113]",Clinical,PhD
"[1110, 1113]",Clinical,PhD
"[1264, 1443]",Counseling,PhD
"[1149, 1329]",Clinical,PhD
"[1149, 1329]",Clinical,PhD
"[1205, 1264]",Clinical,PhD
"[1205, 1264]",Clinical,PhD
"[1328, 1344]",Clinical,PsyD
"[1211, 1594]",Clinical,PhD
"[1211, 1594]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1420, 2474, 2640]",Clinical,PhD
"[1323, 1420]",Clinical,PhD
"[1323, 1420, 2474]",Clinical,PhD
"[1420, 1551]",Clinical,PhD
"[1134, 1619]",Clinical,PhD
"[1134, 1183]",Clinical,PhD
"[1197, 2463]",Clinical,PhD
"[1197, 1538, 2447, 2463]",Clinical,PhD
"[1329, 1420, 2474]",Clinical,PhD
"[1329, 1420]",Clinical,PhD
"[1323, 2519]",Clinical,PhD
"[1197, 1538]",School,PhD
"[1197, 1538]",School,PhD
"[1197, 1538, 1727]",School,PhD
"[1197, 1538, 1727]",School,PhD
"[1389, 1682]",Counseling,PhD
"[1389, 1682]",Counseling,PhD
"[1389, 1682]",Counseling,PhD
"[1165, 1323]",Clinical,PhD
"[1323, 1947, 2479]",Clinical,PhD
"[1183, 1495, 1809]",Clinical,PsyD
"[1183, 1326, 1495, 1809]",Clinical,PsyD
"[1334, 1347, 1472, 1480]",Counseling,PhD
"[1294, 1509]",Clinical,PhD
"[1294, 1344, 1509]",Clinical,PhD
"[1344, 1509, 2410]",Clinical,PhD
"[1344, 1509, 2410]",Clinical,PhD
"[1294, 1344, 1509, 1538, 2410]",Clinical,PhD
"[1347, 1446]",Clinical,PhD
"[1347, 1446]",Clinical,PhD
"[1347, 1446]",Clinical,PhD
"[1347, 1446]",Clinical,PhD
"[1125, 1139, 1347]",Clinical,PhD
"[1125, 1139, 1347]",Clinical,PhD
"[1184, 1645]",School,PhD
"[1143, 1148]",Clinical,PhD
"[1143, 1148]",Clinical,PhD
"[1216, 2512]",Counseling,PhD
"[1551, 1552]",Clinical,PhD
"[1544, 1551, 1552]",Clinical,PhD
"[1544, 1551, 1552]",Clinical,PhD
"[1650, 2471]",Counseling,PhD
"[1136, 2187]",Clinical,PsyD
"[1293, 1299, 1310]",School,EdD
"[1669, 2574]",Clinical,PhD
"[1802, 1832, 1846]",Clinical,PhD
"[1802, 1832, 1846]",Clinical,PhD
"[1413, 1628]",Clinical,PhD
"[1413, 1536]",Clinical,PhD
"[1536, 1628]",Clinical,PhD
"[1536, 1628]",Clinical,PhD
"[1443, 1475]",School,PsyD
"[1802, 1807, 1836]",Counseling,PhD
"[1802, 1807, 1836]",Counseling,PhD
"[1147, 1156]",Clinical,PhD
"[1294, 1948]",Clinical,PhD
"[1294, 1948]",Clinical,PhD
"[1294, 1948]",Clinical,PhD
"[1294, 1948]",Clinical,PhD
"[1220, 1621]",Clinical,PsyD
"[1306, 1538, 2410]",Clinical,PhD
"[1103, 1104, 1105]",School,PsyD
"[1108, 1173, 2035]",Clinical,PhD
"[1108, 1173, 2035]",Clinical,PhD
"[1108, 1173, 2035]",Clinical,PhD
"[1108, 1173, 2035]",Clinical,PhD
"[1108, 1173, 1594, 2035, 2151, 2261, 2525]",Clinical,PhD
"[1108, 1173, 1594, 2035, 2151, 2261, 2525]",Clinical,PhD
"[1173, 2151, 2261]",Clinical,PhD
"[1173, 2151, 2261]",Clinical,PhD
"[1497, 2091]",Clinical,PsyD
"[1135, 1136, 1137, 1148, 1243, 1620, 1973, 2026]",Clinical,PsyD
"[1135, 1136, 1137, 1148, 1243, 1620, 1973, 2026]",Clinical,PsyD
"[1135, 1136, 1137, 1148, 1243, 1620, 1973, 2026, 2129, 2187]",Clinical,PsyD
"[1320, 1326, 1341]",Clinical,PhD
"[1341, 1747]",Clinical,PhD
"[1341, 1747]",Clinical,PhD
