APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
2670,"Federal Correctional Complex, Yazoo City/Psychology Department",https://membership.appic.org/directory/display/3465,"Yazoo City, MS, MS, USA",,Internship,
1167,"Federal Correctional Institution, Terminal Island/Psychology Department",https://membership.appic.org/directory/display/424,"San Pedro, CA, USA",11/01/2025 11:59 PM EST,Internship,10/21/2025
1895,Gilmour Psychological Services/Internship Training,https://membership.appic.org/directory/display/3456,"Ottawa, ON, Canada",11/15/2025 11:59 PM EST,Internship,10/23/2025
2652,HealthRIGHT 360/SF BH Programs,https://membership.appic.org/directory/display/3392,"San Francisco, CA, USA",12/05/2025 11:59 PM EST,Internship,12/09/2025
2647,Honolulu Psychology Collective/Department of Pre-Doctoral Internship Training,https://membership.appic.org/directory/display/3310,"Honolulu, HI, USA",11/01/2025 11:59 PM EST,Internship,08/30/2025
2655,Independence Health System/Latrobe Family Medicine Residency,https://membership.appic.org/directory/display/3399,"Latrobe, PA, USA",12/15/2025 11:59 PM EST,Internship,11/17/2025
2649,La Concordia Wellness Center/La Concordia Wellness Center,https://membership.appic.org/directory/display/3306,"Concord, CA, USA",11/01/2025 11:59 PM EST,Internship,06/05/2025
2659,New Directions for Young Adults/Psychology,https://membership.appic.org/directory/display/3443,"Deerfield Beach, FL, USA",12/15/2025 11:59 PM EST,Internship,10/20/2025
2669,Orange County Family Wellness Group/Internship Training,https://membership.appic.org/directory/display/3466,"IRVINE, CA, USA",02/26/2026 11:59 PM EST,Internship,01/12/2026
2663,Osawatomie State Hospital/Psychology ,https://membership.appic.org/directory/display/3406,"Osawatomie , KS, USA",01/02/2026 11:59 PM EST,Internship,12/04/2025
1894,Private Practice Residency of Ontario in Clinical Psychology (PRRO)/Pamela Wilansky,https://membership.appic.org/directory/display/3325,"toronto, ON, Canada",11/01/2025 11:59 PM EST,Internship,07/24/2025
2657,San Antonio Psychology Internship Consortium/Psychology Residency,https://membership.appic.org/directory/display/3474,"San Antonio, TX, USA",12/12/2025 11:59 PM EST,Internship,10/06/2025
2521,SUNY Buffalo State University/Counseling Center,https://membership.appic.org/directory/display/2679,"Buffalo, NY, USA",11/30/2025 11:59 PM EST,Internship,11/24/2025
2650,The Arc of Central Alabama/Behavior Support,https://membership.appic.org/directory/display/3280,"Birmingham, AL, USA",11/01/2025 11:59 PM EST,Internship,06/10/2025
2648,Toribio Psychological Services/Psychology,https://membership.appic.org/directory/display/3248,"Fresno, CA, USA",12/22/2025 11:59 PM EST,Internship,11/20/2025
2651,University of Florida/Psychiatry,https://membership.appic.org/directory/display/3367,"Gainesville, FL, USA",12/01/2025 11:59 PM EST,Internship,09/18/2025
1341,University of Massachusetts Chan Medical School/Worcester Recovery Center and Hospital (formerly Worcester State Hospital)/Psychology,https://membership.appic.org/directory/display/234,"Worcester, MA, USA",11/01/2025 11:59 PM EST,Internship,07/08/2025
1559,University of Memphis Counseling Center/Student Health and Counseling Services,https://membership.appic.org/directory/display/28,"Memphis, TN, USA",11/30/2025 11:59 PM EST,Internship,06/26/2025
1201,University of Miami/Counseling Center,https://membership.appic.org/directory/display/681,"Coral Gables, FL, USA",11/03/2025 11:59 PM EST,Internship,06/20/2025
1360,University of Michigan/Counseling and Psychological Services,https://membership.appic.org/directory/display/260,"Ann Arbor, MI, USA",11/01/2025 11:59 PM EST,Internship,07/31/2025
1650,University of Michigan/Mary A. Rackham Institute Internship Program,https://membership.appic.org/directory/display/816,"Ann Arbor, MI, USA",11/01/2025 11:59 PM EST,Internship,10/20/2025
1382,University of Minnesota/Boynton Mental Health and Counseling ,https://membership.appic.org/directory/display/818,"Minneapolis, MN, USA",11/07/2025 11:59 PM EST,Internship,07/09/2025
1381,University of Minnesota Medical School/Department of Pediatrics,https://membership.appic.org/directory/display/135,"Minneapolis, MN, USA",11/01/2025 11:59 PM EST,Internship,11/10/2025
1403,University of Mississippi Medical Center/Psychiatry and Human Behavior,https://membership.appic.org/directory/display/47,"Jackson, MS, USA",11/15/2025 11:59 PM EST,Internship,08/11/2025
1389,University of Missouri/Counseling Center,https://membership.appic.org/directory/display/90,"Columbia, MO, USA",11/15/2025 11:59 PM EST,Internship,06/06/2025
1391,University of Missouri-Kansas City/Counseling Services,https://membership.appic.org/directory/display/814,"Kansas City, MO, USA",11/15/2025 11:59 PM EST,Internship,07/28/2025
2293,University of Nevada Las Vegas/Student Counseling and Psychological Services,https://membership.appic.org/directory/display/1473,"Las Vegas, NV, USA",11/15/2025 11:59 PM EST,Internship,07/31/2025
2382,"University of Nevada, Reno/Counseling Services",https://membership.appic.org/directory/display/2096,"Reno, NV, USA",11/23/2025 11:59 PM EST,Internship,09/23/2025
1419,University of New Hampshire/Psychological and Counseling Services (PACS),https://membership.appic.org/directory/display/641,"Durham, NH, USA",11/02/2025 11:59 PM EST,Internship,10/07/2025
1436,University of New Mexico Health Sciences Center/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/220,"Albuquerque, NM, USA",11/01/2025 11:59 PM EST,Internship,10/29/2025
2422,University of North Carolina - Wilmington/Counseling Center ,https://membership.appic.org/directory/display/3236,"Wilmington, NC, USA",11/15/2025 11:59 PM EST,Internship,06/19/2025
2063,University of North Carolina at Chapel Hill/Counseling and Psychological Services,https://membership.appic.org/directory/display/687,"Chapel Hill, NC, USA",11/06/2025 11:59 PM EST,Internship,07/11/2025
1409,University of North Carolina SOM - Clinical Psych/Department of Psychiatry,https://membership.appic.org/directory/display/144,"Chapel Hill, NC, USA",11/01/2025 11:59 PM EST,Internship,08/28/2025
2001,University of North Dakota/University Counseling Center,https://membership.appic.org/directory/display/3159,"Grand Forks, ND, USA",12/05/2025 11:59 PM EST,Internship,07/24/2025
2435,University of North Florida/Counseling Center,https://membership.appic.org/directory/display/2298,"Jacksonville, FL, USA",11/02/2025 11:59 PM EST,Internship,11/04/2025
2011,University of Northern Colorado Counseling Center/Counseling Center,https://membership.appic.org/directory/display/42,"Greeley, CO, USA",11/03/2023 11:59 PM EST,Internship,09/16/2024
1299,University of Notre Dame/University Counseling Center,https://membership.appic.org/directory/display/235,"Notre Dame, IN, USA",11/01/2025 11:59 PM EST,Internship,08/05/2025
2605,University of Oklahoma Department of Athletics/Psychological Resources for OU Student-Athletes,https://membership.appic.org/directory/display/3208,"Norman, OK, USA",11/18/2025 11:59 PM EST,Internship,11/17/2025
1519,"University of Oklahoma, College of Medicine (OUCM)/Department of Psychiatry and Behavioral Sciences",https://membership.appic.org/directory/display/612,"Oklahoma City, OK, USA",11/03/2025 11:59 PM EST,Internship,08/13/2025
1827,University of Ottawa/Centre for Psychological Services and Research,https://membership.appic.org/directory/display/72,"Ottawa, ON, Canada",11/03/2025 11:59 PM EST,Internship,06/19/2025
1536,University of Pennsylvania Department of Psychiatry/Department of Psychiatry,https://membership.appic.org/directory/display/384,"Philadelphia, PA, USA",11/01/2025 11:59 PM EST,Internship,06/20/2025
1542,University of Pittsburgh/Counseling Center,https://membership.appic.org/directory/display/514,"Pittsburgh, PA, USA",11/09/2025 11:59 PM EST,Internship,06/17/2025
2639,University of Puerto Rico Internship Consortium/Department of Psychology,https://membership.appic.org/directory/display/3070,"San Juan, PR, USA",12/01/2025 11:59 PM EST,Internship,09/02/2025
1751,"University of Puget Sound/Counseling, Health and Wellness Services",https://membership.appic.org/directory/display/784,"Tacoma, WA, USA",11/16/2025 11:59 PM EST,Internship,09/30/2025
2610,University of Richmond/Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/2968,"Richmond, VA, USA",12/07/2025 11:59 PM EST,Internship,12/01/2025
1491,University of Rochester/University Counseling Center,https://membership.appic.org/directory/display/420,"Rochester, NY, USA",11/10/2025 11:59 PM EST,Internship,01/12/2026
1490,University of Rochester School of Medicine and Dentistry/Department of  Psychiatry,https://membership.appic.org/directory/display/848,"Rochester, NY, USA",11/03/2025 11:59 PM EST,Internship,10/22/2025
1750,University of San Diego/Counseling Center,https://membership.appic.org/directory/display/353,"San Diego, CA, USA",11/02/2025 11:59 PM EST,Internship,10/09/2025
2196,University of San Francisco /Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/85,"San Francisco, CA, USA",11/03/2025 11:59 PM EST,Internship,02/02/2026
1553,"University of South Carolina/Student Health and Well-Being, Counseling & Psychiatry Services",https://membership.appic.org/directory/display/422,"Columbia, SC, USA",11/15/2025 11:59 PM EST,Internship,08/20/2025
1226,University of South Florida/Counseling Center ,https://membership.appic.org/directory/display/372,"Tampa, FL, USA",11/14/2025 11:59 PM EST,Internship,10/08/2025
2499,University of South Florida/USF Health Doctoral Internship ,https://membership.appic.org/directory/display/2600,"Tampa, FL, USA",11/01/2025 11:59 PM EST,Internship,08/25/2025
1136,University of Southern California/Counseling and Mental Health Services,https://membership.appic.org/directory/display/301,"Los Angeles, CA, USA",11/03/2025 11:59 PM EST,Internship,08/21/2025
1387,University of St. Thomas/University of St. Thomas Counseling and Psychological Services,https://membership.appic.org/directory/display/37,"St. Paul, MN, USA",11/01/2025 11:59 PM EST,Internship,10/08/2025
1560,University of Tennessee Health Science Center/Department of Psychiatry,https://membership.appic.org/directory/display/216,"Memphis, TN, USA",11/01/2025 11:59 PM EST,Internship,07/08/2025
2152,University of Texas at Dallas /Student Counseling Center     ,https://membership.appic.org/directory/display/487,"Richardson, TX, USA",11/01/2025 11:59 PM EST,Internship,07/24/2025
2294,"University of Texas Health Science Center, Houston/Psychiatry and Behavioral Sciences",https://membership.appic.org/directory/display/913,"Houston, TX, USA",11/03/2025 11:59 PM EST,Internship,09/19/2025
1272,University of the Pacific/Counseling and Psychological Services  ,https://membership.appic.org/directory/display/680,"Stockton , CA, USA",11/21/2023 11:59 PM EST,Internship,12/13/2023
1598,University of Utah/University Counseling Center,https://membership.appic.org/directory/display/469,"Salt Lake City, UT, USA",11/01/2025 11:59 PM EST,Internship,08/21/2025
1597,"University of Utah, Huntsman Mental Health Institute (HMHI)/Psychology Training",https://membership.appic.org/directory/display/769,"Salt Lake City, UT, USA",11/15/2025 11:59 PM EST,Internship,11/20/2025
2474,University of Vermont Medical Center/Psychological Services,https://membership.appic.org/directory/display/2607,"Burlington, VT, USA",11/09/2025 11:59 PM EST,Internship,10/14/2025
1869,University of Victoria/Student Wellness Centre - Counselling,https://membership.appic.org/directory/display/2228,"Victoria, BC, Canada",11/05/2025 11:59 PM EST,Internship,06/26/2025
1606,University of Virginia/Department of Student Health and Wellness,https://membership.appic.org/directory/display/6,"Charlottesville, VA, USA",11/03/2025 11:59 PM EST,Internship,12/17/2025
1620,University of Washington Counseling Center/Student Life,https://membership.appic.org/directory/display/241,"Seattle, WA, USA",11/01/2025 11:59 PM EST,Internship,08/04/2025
1619,University of Washington School of Medicine/Dept of Psychiatry & Behavioral Sciences,https://membership.appic.org/directory/display/222,"Seattle, WA, USA",11/03/2025 11:59 PM EST,Internship,07/29/2025
2127,"University of Washington Tacoma /Division of Student Affairs, Psychological & Wellness Services (PAWS)",https://membership.appic.org/directory/display/266,"Tacoma, WA, USA",11/23/2025 11:59 PM EST,Internship,10/26/2025
1628,University of Wisconsin/University of Wisconsin SMPH - Dept. of Psychiatry,https://membership.appic.org/directory/display/377,"Madison, WI, USA",11/03/2025 11:59 PM EST,Internship,10/28/2025
1629,University of Wisconsin - Madison Counseling & Mental Health Services/University Health Services,https://membership.appic.org/directory/display/348,"Madison, WI, USA",12/01/2025 11:59 PM EST,Internship,06/19/2025
2313,University of Wisconsin- Whitewater/University Health & Counseling Services,https://membership.appic.org/directory/display/1441,"Whitewater, WI, USA",11/21/2025 11:59 PM EST,Internship,08/06/2025
2487,Utah Psychology Internship Consortium/Utah Psychology Internship Consortium,https://membership.appic.org/directory/display/2638,"American Fork, UT, USA",11/18/2025 11:59 PM EST,Internship,07/15/2025
1594,Utah State Hospital/Psychology Services,https://membership.appic.org/directory/display/7,"Provo, UT, USA",11/03/2025 11:59 PM EST,Internship,07/24/2025
1592,Utah State University/Counseling and Prevention Services,https://membership.appic.org/directory/display/168,"Logan, UT, USA",11/14/2025 11:59 PM EST,Internship,06/25/2025
1960,Utah Valley University/Student Health Services,https://membership.appic.org/directory/display/248,"Orem , UT, USA",11/03/2025 11:59 PM EST,Internship,06/19/2025
1139,VA - Los Angeles Ambulatory Care Center/Psychology Service (116B),https://membership.appic.org/directory/display/744,"Los Angeles, CA, USA",11/03/2025 11:59 PM EST,Internship,07/30/2025
1359,VA Ann Arbor Healthcare System/Mental Health Service (116a),https://membership.appic.org/directory/display/721,"Ann Arbor, MI, USA",11/01/2025 11:59 PM EST,Internship,06/27/2025
1555,VA Black Hills Health Care System/Mental Health Service,https://membership.appic.org/directory/display/666,"Fort Meade, SD, USA",11/15/2025 11:59 PM EST,Internship,07/31/2025
1325,VA Boston Healthcare System/VA Boston Healthcare System Psychology Internship Training Program,https://membership.appic.org/directory/display/491,"Boston, MA, USA",11/01/2025 11:59 PM EST,Internship,07/29/2025
1773,VA Caribbean Healthcare System/Psychology Section (116B),https://membership.appic.org/directory/display/866,"San Juan, PR, USA",11/03/2025 11:59 PM EST,Internship,07/28/2025
1186,VA Connecticut Healthcare System/Psychology Service (116B),https://membership.appic.org/directory/display/386,"West Haven, CT, USA",11/01/2025 11:59 PM EST,Internship,07/22/2025
1304,VA Eastern Kansas (Leavenworth/Topeka) Healthcare System/Behavioral Health Service (Psychiatric Facility),https://membership.appic.org/directory/display/698,"Topeka, KS, USA",11/30/2025 11:59 PM EST,Internship,11/18/2025
2383,VA Health Care System St. Cloud/Mental Health Service ,https://membership.appic.org/directory/display/1767,"St. Cloud, MN, USA",11/14/2025 11:59 PM EST,Internship,10/14/2025
1463,"VA Hudson Valley Health Care System, Montrose Campus. /Mental Health Care Line 116B",https://membership.appic.org/directory/display/830,"Montrose, NY, USA",11/15/2025 11:59 PM EST,Internship,12/11/2025
1269,VA Illiana Health Care System/Mental Health Service,https://membership.appic.org/directory/display/429,"Danville, IL, USA",11/07/2025 11:59 PM EST,Internship,06/04/2025
1129,VA Long Beach Healthcare System/Psychology,https://membership.appic.org/directory/display/576,"Long Beach, CA, USA",11/03/2025 11:59 PM EST,Internship,08/05/2025
1357,VA Maine Healthcare System (formerly Togus VAMC)/Mental Health Service,https://membership.appic.org/directory/display/539,"Augusta, ME, USA",11/03/2025 11:59 PM EST,Internship,08/01/2025
1347,VA Maryland Health Care System/VAMHCS/UM SOM Psychology Internship Consortium,https://membership.appic.org/directory/display/597,"Baltimore, MD, USA",11/05/2025 11:59 PM EST,Internship,07/31/2025
1361,"VA Medical Center, Battle Creek/Psychology Service (116B)",https://membership.appic.org/directory/display/836,"Battle Creek, MI, USA",11/15/2025 11:59 PM EST,Internship,09/23/2025
2349,"VA Medical Center, Martinsburg/Mental Health Service",https://membership.appic.org/directory/display/1580,"Martinsburg, WV, USA",12/01/2025 11:59 PM EST,Internship,07/31/2025
1634,"VA Medical Center, Milwaukee/Mental Health Divison (MH-ADMIN)",https://membership.appic.org/directory/display/54,"Milwaukee, WI, USA",11/10/2025 11:59 PM EST,Internship,09/30/2025
1614,"VA Medical Center, Salem/MHSL-Psychology  (116C)",https://membership.appic.org/directory/display/732,"Salem, VA, USA",11/14/2025 11:59 PM EST,Internship,07/25/2025
1156,"VA Medical Center, San Francisco/Psychological Services ",https://membership.appic.org/directory/display/809,"San Francisco, CA, USA",11/01/2025 11:59 PM EST,Internship,09/22/2025
1496,"VA Medical Center, Syracuse/Behavioral Health (116)",https://membership.appic.org/directory/display/274,"Syracuse, NY, USA",11/07/2025 11:59 PM EST,Internship,10/15/2025
1193,"VA Medical Center, Washington DC/Psychology  (116B)",https://membership.appic.org/directory/display/745,"Washington, DC, USA",11/01/2025 11:59 PM EST,Internship,08/04/2025
2217,VA Nebraska-Western Iowa Health Care System/Mental Health & Behavioral Science,https://membership.appic.org/directory/display/873,"Omaha, NE, USA",12/14/2025 11:59 PM EST,Internship,11/25/2025
1453,"VA New York Harbor Healthcare System, Brooklyn Campus/Psychology Service (116B)",https://membership.appic.org/directory/display/846,"Brooklyn, NY, USA",11/01/2025 11:59 PM EST,Internship,07/30/2025
1573,VA North Texas Health Care System/Psychology Service (116A),https://membership.appic.org/directory/display/694,"Dallas, TX, USA",11/10/2025 11:59 PM EST,Internship,11/05/2025
1141,VA Northern California Health Care System/Mental Health,https://membership.appic.org/directory/display/307,"Martinez, CA, USA",11/01/2025 11:59 PM EST,Internship,07/13/2025
1147,VA Palo Alto Health Care System/Psychology Service (116B),https://membership.appic.org/directory/display/579,"Palo Alto, CA, USA",11/01/2025 11:59 PM EST,Internship,06/23/2025
1543,VA Pittsburgh Healthcare System/Behavioral Health,https://membership.appic.org/directory/display/45,"Pittsburgh, PA, USA",11/09/2025 11:59 PM EST,Internship,07/16/2025
1623,"VA Puget Sound, American Lake Division/Psychology Service (A-116-B)",https://membership.appic.org/directory/display/794,"Tacoma, WA, USA",11/01/2025 11:59 PM EST,Internship,08/28/2025
1621,"VA Puget Sound, Seattle/Mental Health Service (116 )",https://membership.appic.org/directory/display/710,"Seattle, WA, USA",11/01/2025 11:59 PM EST,Internship,08/28/2025
1599,VA Salt Lake City Health Care System/Psychology,https://membership.appic.org/directory/display/477,"Salt Lake City, UT, USA",11/15/2025 11:59 PM EST,Internship,08/20/2025
1125,"VA San Diego Healthcare System/University of California, San Diego/Psychology Internship Program (116B)",https://membership.appic.org/directory/display/62,"San Diego, CA, USA",11/01/2025 11:59 PM EST,Internship,09/17/2025
1163,VA Sepulveda Ambulatory Care Center/Psychology Service (116B),https://membership.appic.org/directory/display/740,"North Hills, CA, USA",11/01/2025 11:59 PM EST,Internship,10/21/2025
1439,VA Sierra Nevada Health Care System/Mental Health Service (116),https://membership.appic.org/directory/display/230,"Reno, NV, USA",11/04/2025 11:59 PM EST,Internship,11/06/2025
2342,VA Southern Nevada Healthcare System/Behavioral Health Service,https://membership.appic.org/directory/display/1576,"North Las Vegas, NV, USA",11/17/2025 11:59 PM EST,Internship,10/07/2025
1753,VA Southern Oregon Rehabilitation Center and Clinics (SORCC)/Psychology,https://membership.appic.org/directory/display/1437,"White City, OR, USA",11/03/2025 11:59 PM EST,Internship,07/25/2025
1399,VA St. Louis Health Care System/Psychology Internship,https://membership.appic.org/directory/display/628,"St. Louis, MO, USA",11/01/2025 11:59 PM EST,Internship,07/25/2025
2461,VA Tennessee Valley Healthcare System/Psychology,https://membership.appic.org/directory/display/2317,"Nashville, TN, USA",11/01/2025 11:59 PM EST,Internship,07/03/2025
2213,VA Texas Valley Coastal Bend Health Care System Pre-Doctoral Internship Program/Mental Health,https://membership.appic.org/directory/display/606,"Harlingen, TX, USA",11/10/2025 11:59 PM EST,Internship,07/17/2025
1138,VA West Los Angeles Healthcare Center/Psychology Department (116B),https://membership.appic.org/directory/display/432,"Los Angeles, CA, USA",11/01/2025 11:59 PM EST,Internship,09/09/2025
2467,VA Western Colorado Health Care System/Mental Health,https://membership.appic.org/directory/display/2356,"Grand Junction, CO, USA",11/16/2025 11:59 PM EST,Internship,07/31/2025
1455,VA Western New York Healthcare System/Behavioral VA Careline (116B),https://membership.appic.org/directory/display/453,"Buffalo, NY, USA",11/01/2025 11:59 PM EST,Internship,06/02/2025
2424,Valley Health/Department of Behavioral Medicine,https://membership.appic.org/directory/display/2146,"Huntington, WV, USA",11/21/2025 11:59 PM EST,Internship,06/19/2025
1807,Vancouver Coastal Health Authority/Psychology Services,https://membership.appic.org/directory/display/659,"Vancouver, BC, Canada",11/01/2025 11:59 PM EST,Internship,10/24/2025
2462,Vanderbilt University Counseling Center/Vanderbilt University,https://membership.appic.org/directory/display/2377,"Nashville, TN, USA",11/01/2025 11:59 PM EST,Internship,10/21/2025
2454,Vanderbilt University Medical Center Internship in Professional Psychology/VUMC-IPP,https://membership.appic.org/directory/display/311,"Nashville, TN, USA",11/01/2025 11:59 PM EST,Internship,10/09/2025
2576,Vantage Point Center for Psychotherapy/Vantage Point Center for Psychotherapy,https://membership.appic.org/directory/display/3005,"Sacramento, CA, USA",12/05/2025 11:59 PM EST,Internship,10/28/2025
1731,Veterans Affairs Medical Center Hampton Virginia/Mental Health & Behavioral Sciences (116A),https://membership.appic.org/directory/display/665,"Hampton, VA, USA",11/03/2025 11:59 PM EST,Internship,10/15/2025
1423,Veterans Affairs New Jersey Health Care System/Mental Health & Behavioral Sciences,https://membership.appic.org/directory/display/560,"East Orange, NJ, USA",12/01/2025 11:59 PM EST,Internship,01/07/2026
1480,Veterans Affairs NY Harbor Health Care System-Manhattan Campus/Psychology Internship Training Program,https://membership.appic.org/directory/display/134,"New York, NY, USA",11/01/2025 11:59 PM EST,Internship,09/15/2025
2423,Veterans Health Administration/VA Greenville Healthcare Center,https://membership.appic.org/directory/display/2238,"Greenville, NC, USA",11/13/2025 11:59 PM EST,Internship,07/30/2025
2337,Veterans Healthcare System of the Ozarks/Mental Health,https://membership.appic.org/directory/display/1647,"Fayetteville, AR, USA",11/07/2025 11:59 PM EST,Internship,10/10/2025
2334,Violence Intervention Program Community Mental Health Center/Psychology Training,https://membership.appic.org/directory/display/1547,"Los Angeles, CA, USA",12/19/2025 11:59 PM EST,Internship,07/31/2025
1693,Virginia Beach City Public Schools/Psychological Services,https://membership.appic.org/directory/display/58,"Virginia Beach, VA, USA",12/01/2025 11:59 PM EST,Internship,06/25/2025
1612,Virginia Commonwealth University/University Counseling Services,https://membership.appic.org/directory/display/689,"Richmond, VA, USA",11/03/2025 11:59 PM EST,Internship,07/25/2025
1604,Virginia Tech/Thomas E. Cook Counseling Center at Virginia Tech,https://membership.appic.org/directory/display/218,"Blacksburg, VA, USA",11/01/2025 11:59 PM EST,Internship,10/23/2025
1613,"Virginia Treatment Center for Children/Psychology Internship, Dept of Psychiatry",https://membership.appic.org/directory/display/414,"Richmond, VA, USA",11/01/2025 11:59 PM EST,Internship,07/30/2025
2024,Waianae Coast Comprehensive Health Center/Behavioral Health,https://membership.appic.org/directory/display/511,"Waianae, HI, USA",11/24/2025 11:59 PM EST,Internship,11/18/2025
2451,Wake Forest University/Counseling Center,https://membership.appic.org/directory/display/1938,"Winston-Salem, NC, USA",11/03/2025 11:59 PM EST,Internship,10/31/2025
1348,"Walter Reed National Military Medical Center/NAVY INTERNSHIP, Behavioral Health Consultation and Education Services",https://membership.appic.org/directory/display/380,"Bethesda, MD, USA",11/24/2025 11:59 PM EST,Internship,11/24/2025
1373,Walter Reuther Psychiatric Hospital - Youth/Child and Adolescent Psychology Department,https://membership.appic.org/directory/display/76,"Westland, MI, USA",11/12/2025 11:59 PM EST,Internship,12/16/2025
1595,Wasatch Behavioral Health/Predoctoral Psychology Internship Program,https://membership.appic.org/directory/display/401,"Provo , UT, USA",11/04/2025 11:59 PM EST,Internship,10/20/2025
1618,Washington State University/Counseling and Psychological Services,https://membership.appic.org/directory/display/138,"Pullman, WA, USA",11/02/2025 11:59 PM EST,Internship,07/30/2025
2613,Washington University in St. Louis/Center for Counseling and Psychological Services,https://membership.appic.org/directory/display/3017,"St. Louis, MO, USA",12/05/2025 11:59 PM EST,Internship,09/10/2025
2495,Wayne State University /Counseling and Psychological Services ,https://membership.appic.org/directory/display/2497,"Detroit , MI, USA",11/07/2025 11:59 PM EST,Internship,11/05/2025
1367,Wayne State University School of Medicine/Psychiatry and Behavioral Neurosciences,https://membership.appic.org/directory/display/2733,"DETROIT, MI, USA",01/16/2026 11:59 PM EST,Internship,12/21/2025
1885,Waypoint Center for Mental Health Care/Waypoint Psychology Residency Program,https://membership.appic.org/directory/display/3013,"Penetanguishene, ON, Canada",12/01/2025 11:59 PM EST,Internship,08/26/2025
2662,Waypoint Wellness Center/Training,https://membership.appic.org/directory/display/3189,"Annapolis, MD, USA",01/16/2026 11:59 PM EST,Internship,12/29/2025
2164,WellSpan Philhaven CBT/WellSpan Philhaven ,https://membership.appic.org/directory/display/213,"York , PA, USA",12/01/2025 11:59 PM EST,Internship,09/23/2025
1531,WellSpan Philhaven Hospital (Formerly Philhaven)/WellSpan Philhaven Psychology Department,https://membership.appic.org/directory/display/191,"Mt. Gretna, PA, USA",11/01/2025 11:59 PM EST,Internship,09/26/2025
2170,West Palm Beach Veteran Affairs Medical Center/116 MH&BS,https://membership.appic.org/directory/display/837,"West Palm Beach, FL, USA",11/12/2025 11:59 PM EST,Internship,06/20/2025
1640,West Virginia University/Carruth Center for Counseling and Psychological Services,https://membership.appic.org/directory/display/835,"Morgantown, WV, USA",11/01/2025 11:59 PM EST,Internship,07/18/2025
1639,"West Virginia University School of Medicine, Morgantown/Department of Behavioral Medicine & Psychiatry",https://membership.appic.org/directory/display/586,"Morgantown, WV, USA",11/01/2025 11:59 PM EST,Internship,11/13/2025
2494,Westchester Institute for Human Development /Psychology Training ,https://membership.appic.org/directory/display/2702,"Valhalla, NY, USA",11/21/2025 11:59 PM EST,Internship,07/30/2025
1460,Westchester Jewish Community Services/Psychology Department,https://membership.appic.org/directory/display/820,"White Plains, NY, USA",11/24/2025 11:59 PM EST,Internship,08/25/2025
2026,WestCoast Children's Clinic/Internship Training Program,https://membership.appic.org/directory/display/580,"Oakland, CA, USA",11/02/2025 11:59 PM EST,Internship,12/01/2025
2132,Western Carolina University /Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/319,"Cullowhee, NC, USA",11/16/2025 11:59 PM EST,Internship,11/11/2025
2567,Western New York Children's Psychiatric Center/Psychology,https://membership.appic.org/directory/display/2955,"West Seneca, NY, USA",12/01/2025 11:59 PM EST,Internship,10/28/2025
1544,Western Psychiatric Hospital/Psychology Internship Program,https://membership.appic.org/directory/display/757,"Pittsburgh, PA, USA",11/01/2025 11:59 PM EST,Internship,06/30/2025
